gameId,team_win,team1_champ1,team1_champ2,team1_champ3,team1_champ4,team1_champ5,team2_champ1,team2_champ2,team2_champ3,team2_champ4,team2_champ5
2727035358,1,122,131,121,201,51,163,19,114,110,117
2727690721,1,497,78,72,101,81,15,12,203,68,4
2727625190,1,25,498,121,101,420,51,141,27,3,267
2725659114,1,157,498,107,92,50,222,8,59,79,111
2725675504,1,161,245,18,17,236,126,110,34,19,12
2728362495,2,41,498,13,72,63,35,81,12,8,112
2727420426,2,53,141,119,14,112,92,40,18,121,61
2725609995,2,61,432,119,64,14,18,69,107,58,12
2727240212,2,18,201,3,14,19,432,498,113,163,84
2728100386,1,14,498,497,107,268,34,120,40,8,67
2728428075,1,498,236,14,107,58,92,12,154,13,22
2725511723,1,107,26,134,63,222,59,27,50,429,14
2727428654,2,106,498,268,98,92,114,81,24,201,13
2725536307,1,18,113,92,7,40,12,99,498,154,91
2727535159,1,56,117,157,163,18,120,13,40,115,81
2725225027,2,96,13,24,40,79,161,9,16,51,240
2726978124,1,412,81,76,4,114,24,163,67,223,59
2728370765,2,110,266,4,104,117,37,86,13,18,154
2725405263,2,79,22,14,62,91,75,14,429,203,157
2725782096,2,110,107,3,92,432,121,81,164,126,25
2727084625,1,163,13,53,498,76,110,236,267,20,69
2727109215,2,267,202,106,115,14,412,69,164,36,119
2727674465,2,57,18,72,12,7,39,498,28,42,497
2727166563,2,223,80,113,59,90,2,92,497,74,498
2725438051,2,37,8,81,57,39,51,38,76,25,14
2726117993,2,113,4,266,498,40,121,38,126,81,117
2726027889,1,40,421,51,245,24,19,41,131,429,412
2727535221,2,63,164,50,15,106,268,164,110,20,267
2725741190,1,136,51,245,16,516,121,103,14,143,110
2728321673,1,498,103,14,497,9,81,36,131,40,27
2728837772,1,421,114,136,43,81,106,412,13,8,18
2725962398,1,91,126,16,113,110,81,63,117,41,3
2725249696,1,427,67,39,30,117,19,163,41,96,201
2726445729,1,78,102,18,30,54,202,141,14,268,412
2725651114,2,55,222,106,516,117,14,90,16,60,81
2726609586,2,498,497,164,134,33,17,412,28,50,21
2725380787,1,3,99,222,19,238,57,45,120,12,51
2728108722,2,16,161,222,113,14,157,106,50,67,161
2727158460,2,99,51,63,24,57,201,13,245,92,18
2727092925,1,63,497,498,13,41,29,26,59,24,163
2725880510,2,238,122,51,117,245,126,57,12,22,154
2725356224,2,72,89,164,119,17,498,40,14,203,126
2728002241,1,421,4,498,497,150,40,23,34,240,222
2728231618,2,222,121,412,9,57,119,113,30,41,201
2728403653,1,51,98,72,412,55,412,238,24,62,236
2728641228,1,121,27,25,51,13,24,34,18,266,12
2726208204,1,96,40,106,23,4,41,107,50,18,267
2727166671,1,92,45,96,412,254,157,110,76,75,17
2726937299,1,114,18,4,497,120,163,164,498,44,223
2728223454,2,4,432,119,107,36,245,48,81,105,223
2726585056,1,121,7,117,18,107,4,76,150,12,110
2725241579,2,121,44,14,50,119,238,222,99,34,107
2727486195,1,240,42,13,40,107,28,223,55,14,18
2725298931,1,63,17,107,157,110,498,92,497,9,38
2725257971,1,92,19,51,25,101,498,107,245,40,14
2725757689,1,268,81,236,201,2,41,412,222,421,245
2725020418,1,9,63,12,67,164,7,34,81,53,106
2725438211,1,136,141,126,236,78,268,498,497,69,64
2728657668,2,67,12,24,4,157,126,121,27,81,201
2728846088,1,268,28,39,498,267,150,20,18,37,3
2726069015,1,421,4,114,25,15,105,98,121,498,223
2727584562,2,121,81,55,92,267,497,498,101,72,27
2725569333,1,150,24,18,63,31,101,498,40,10,9
2728543031,1,18,516,12,101,121,80,42,498,9,497
2728567613,1,113,4,67,85,40,61,421,117,498,27
2728526662,2,201,106,202,39,136,31,126,110,432,421
2727150408,2,268,68,104,81,223,61,15,154,77,12
2726691661,1,76,150,26,13,29,61,223,81,41,19
2726552401,2,13,236,92,122,81,29,157,238,89,64
2727404370,1,126,81,223,76,13,497,50,427,498,69
2725880659,1,13,18,20,17,53,110,113,40,157,8
2725618523,1,68,11,105,51,267,141,98,119,268,86
2728584026,2,202,143,14,3,106,136,24,164,110,25
2726003550,1,119,40,6,19,105,42,14,76,117,18
2726478698,1,497,498,27,92,113,15,223,121,55,40
2726191980,1,117,13,113,18,84,201,110,7,41,121
2725020524,1,498,105,120,13,497,99,79,15,201,266
2726175599,2,117,41,72,55,498,154,96,92,26,8
2727609200,1,119,432,1,114,19,18,20,40,13,236
2728338290,1,81,13,432,8,164,18,58,14,268,421
2728362866,2,51,44,42,27,9,80,13,498,412,121
2727199609,2,157,85,19,201,81,18,112,141,12,6
2728313725,2,202,122,113,143,69,43,110,59,161,39
2728452992,1,19,267,41,18,412,77,80,15,45,14
2728092549,1,18,8,236,114,23,11,22,80,222,131
2725872517,1,13,22,72,44,25,420,498,268,497,107
2725954441,1,17,80,113,236,432,141,154,50,202,117
2726101897,2,44,14,81,113,38,19,136,18,26,31
2728002460,2,15,12,154,8,516,76,157,92,201,81
2725708707,2,8,498,267,7,113,61,141,117,96,27
2728706981,2,55,202,117,157,5,19,89,202,59,55
2728092585,2,98,92,55,421,81,236,154,117,34,27
2728207275,1,92,53,121,13,236,202,25,113,164,61
2728240044,2,245,18,126,223,60,17,53,110,3,72
2725692348,1,22,115,17,64,25,150,63,59,81,42
2728543164,2,34,498,107,92,99,44,77,18,150,163
2727207869,2,64,30,498,432,114,117,110,69,420,121
2726822850,1,44,3,497,92,81,142,119,20,412,75
2727347146,2,164,113,15,53,3,117,79,18,112,154
2726757322,2,51,12,14,121,101,157,60,6,18,223
2726618060,1,81,27,40,113,4,30,117,51,36,6
2725233613,2,91,24,51,113,27,72,412,107,161,81
2728690636,2,202,55,40,35,25,122,81,8,25,19
2727183312,1,51,21,11,74,106,119,268,59,22,114
2725118936,2,223,113,61,110,40,14,59,429,131,9
2728797144,2,18,27,3,141,12,157,60,498,14,40
2728772575,2,432,112,60,202,266,96,9,89,103,77
2725463011,1,236,89,7,421,82,12,498,24,107,14
2726552556,1,75,19,268,51,40,8,106,157,498,267
2728739821,1,25,76,45,51,420,126,24,8,412,18
2726667247,1,19,432,26,6,51,121,497,81,30,164
2728330240,2,78,99,117,141,110,497,268,19,498,58
2727887876,1,40,112,106,110,23,92,498,76,432,3
2727298053,1,113,42,117,29,122,12,92,107,112,236
2728608774,2,99,12,113,498,78,55,164,154,18,44
2728616974,1,497,13,31,15,20,114,34,498,154,98
2725839889,1,25,432,24,78,498,113,40,51,13,41
2728354835,1,15,59,432,17,4,92,497,498,3,107
2725463065,1,3,201,92,51,421,131,107,427,96,26
2725315611,2,107,120,110,40,3,427,78,131,96,497
2725266464,2,498,96,107,497,39,58,61,29,40,28
2727609377,1,238,103,18,22,58,21,48,13,89,58
2728690720,2,245,421,164,497,498,92,81,101,5,40
2725356578,1,110,64,164,117,112,40,102,92,69,498
2726069284,1,154,42,18,164,26,201,81,107,115,8
2725626922,2,161,150,110,63,106,7,143,76,18,126
2725749803,2,429,150,38,432,113,117,96,30,24,92
2725864494,1,164,497,429,41,3,84,117,76,67,63
2727584815,1,101,78,161,72,18,24,5,136,117,498
2727576635,2,14,28,18,136,12,37,27,421,429,61
2728657983,1,24,112,412,113,498,25,164,55,72,67
2728035396,2,81,24,9,43,141,163,40,122,18,154
2725258317,1,53,24,92,110,157,114,55,72,267,81
2728682582,1,37,114,16,121,55,1,35,157,51,17
2728248417,1,89,245,48,18,19,111,412,67,38,154
2725921905,1,222,201,28,245,114,1,18,25,39,20
2725282935,2,223,5,29,114,157,17,432,80,13,81
2725848185,2,117,18,54,268,113,40,41,141,13,110
2727298173,2,106,498,25,103,121,40,236,59,112,39
2726970493,2,236,103,40,11,17,164,37,266,76,498
2725332115,1,25,110,20,53,164,83,112,498,120,143
2728453268,2,121,42,18,432,14,498,497,19,43,86
2727093397,2,12,19,164,18,61,14,20,13,75,81
2725659797,2,412,14,42,51,59,163,110,432,72,48
2728862876,2,120,150,18,1,117,14,121,81,26,25
2725610656,1,42,18,201,23,120,223,9,110,14,136
2728838312,1,57,42,72,119,201,141,18,12,27,45
