championId,winRate,banRate,gamesPlayed,playRate,kills,deaths,assists,score,gold,damageTaken,totalHeal,totalDamage,rivals
92,0.501618512171412,0.00607582966965392,4989150,2.8650775124019017,6.147099205275448,5.515979675896696,5.120842227633966,11.101006968565136,11737.466863092912,21959.572993395668,2922.2572682721507,16468.56113766874,"{106, 27}"
154,0.5032535963494242,0.012485589740325804,4300472,2.469596147623143,4.002005361271972,4.071538193947081,11.657543637070535,13.982958701702614,10241.119185987027,36910.21619022284,26522.6077677055,12017.195522724018,set()
53,0.510879433956357,0.021261862592760437,6228495,3.576785817345169,2.3116266449599783,5.3456581405299355,12.01930642956284,10.157451603887093,8580.246110015341,21475.021487534308,3421.6093839683585,9192.003621260032,{133}
236,0.46823673574683977,0.0008352566952375438,7442560,4.273976787769838,7.296188408289621,5.799499097084874,6.757244818987015,9.2526781438726,12983.156258061743,19444.068675294522,3474.2167856221513,21158.988692062947,"{1, 9, 267, 142, 412, 161, 37, 40, 43, 45, 48, 51, 54, 78, 222, 223, 98, 99, 101, 111, 497}"
41,0.49939468620965477,0.015596148075976105,4625700,2.656362115614375,4.963854119376527,5.13646583219837,7.434917958363059,14.692699814597862,13437.107767473031,23546.138119635947,5624.046490260934,21308.605335408694,set()
164,0.5033817468446963,0.024092757806663964,5871226,3.37161993181792,6.092468932383118,5.802153758005568,6.1358687265657945,12.191369723496656,11214.489376154146,25486.523370757648,3862.2454581036395,17391.072649221816,"{106, 77}"
103,0.5224444589224051,0.002073737460262617,4052136,2.3269863064438185,6.466773079679458,4.95467674332747,7.613731622038352,13.948323053055525,11742.94859599974,18752.982061806415,4146.384574456533,22036.042098290876,set()
114,0.50176429863546,0.012996774111732213,4477700,2.571371391375681,5.605679254974652,5.792884739933448,4.720604328114881,12.297611961038834,12176.228298010139,28620.773890613484,7757.798311633204,18453.741463251223,{80}
238,0.502826752474805,0.04337860232564483,3938088,2.2614929137548017,8.769234207056826,6.030881991463878,5.480637304194318,16.398469930540852,12269.746396728564,20676.22941386785,3179.5417867757146,21549.634823802815,{10}
119,0.5035170332444778,0.014425238208950081,6812560,3.9121919481051304,7.361849290134693,6.265897107695198,6.511701915285884,12.533688729992846,13491.409831252862,19416.99145108447,3321.894395058539,22485.950796763624,"{1, 101, 142, 78, 54}"
25,0.5022407612440027,0.006324770045993194,6001755,3.446577730764897,2.786701723079332,5.47986597253637,12.821303102175946,9.67410651574922,9437.199486650152,16946.79018670372,3910.3370948997417,13592.562996156958,"{40, 136, 14, 16, 48}"
89,0.49210732088749876,0.011726039249503627,5320120,3.055140890788926,1.8787752907829147,5.610668556348353,12.655067930798554,8.097612963737957,8548.141347375624,21012.344528882808,3413.146014563581,6997.062982601896,"{40, 26, 429}"
61,0.4924384922127756,0.0015301075726781956,3508824,2.01498306071697,5.321458129561357,5.055363278408948,8.61920347102049,11.721496305580887,11574.380194617912,16252.19047977328,1602.0602412660196,20168.843189627067,"{161, 26, 101}"
75,0.5029466779409127,0.016376084687582698,3902700,2.2411709424753488,4.762869295615856,5.166846029671766,5.434160965485433,12.715440314010662,11719.785456222615,32323.27692366823,1060.2713506034283,17719.727316985678,set()
11,0.5063329037632939,0.0074915644050674345,3380124,1.9410755863283213,8.668423998646203,6.618099217661837,4.756147407609898,13.800382513006724,12740.342263183244,28070.38180966142,9307.717004464925,17802.376420510016,{72}
